Raw_Activity_Data,Rumination_Raw_Data,Weekly_Rumination_Average,Daily_activity,period_to_calving
67,8,446,563,0
43,23,446,563,-1
34,23,446,563,-2
35,20,446,563,-3
40,40,446,563,-4
44,31,446,563,-5
38,37,446,563,-6
51,30,446,563,-7
32,19,446,563,-8
54,30,447,509,-9
46,52,447,509,-10
54,21,447,509,-11
41,35,447,509,-12
29,42,447,509,-13
37,41,447,509,-14
57,30,447,509,-15
46,25,447,509,-16
32,24,447,509,-17
32,69,447,509,-18
44,34,447,509,-19
37,55,447,509,-20
40,33,445,450,-21
39,46,445,450,-22
38,39,445,450,-23
40,20,445,450,-24
30,46,445,450,-25
43,53,445,450,-26
38,15,445,450,-27
43,42,445,450,-28
38,42,445,450,-29
32,42,445,450,-30
33,60,445,450,-31
36,22,445,450,-32
28,33,451,452,-33
32,53,451,452,-34
39,39,451,452,-35
40,22,451,452,-36
31,21,451,452,-37
49,50,451,452,-38
46,44,451,452,-39
40,41,451,452,-40
33,41,451,452,-41
34,31,451,452,-42
40,42,451,452,-43
40,50,451,452,-44
50,37,454,538,-45
49,37,454,538,-46
51,20,454,538,-47
55,27,454,538,-48
37,25,454,538,-49
34,28,454,538,-50
54,33,454,538,-51
55,25,454,538,-52
34,45,454,538,-53
33,36,454,538,-54
41,54,454,538,-55
45,24,454,538,-56
39,35,467,453,-57
38,54,467,453,-58
43,21,467,453,-59
40,39,467,453,-60
24,13,467,453,-61
36,37,467,453,-62
36,35,467,453,-63
38,24,467,453,-64
35,39,467,453,-65
49,34,467,453,-66
36,44,467,453,-67
39,33,467,453,-68
41,47,471,414,-69
41,41,471,414,-70
35,28,471,414,-71
38,37,471,414,-72
28,41,471,414,-73
39,36,471,414,-74
34,51,471,414,-75
32,28,471,414,-76
21,33,471,414,-77
29,76,471,414,-78
36,44,471,414,-79
40,29,471,414,-80
28,21,469,407,-81
28,44,469,407,-82
41,62,469,407,-83
39,4,469,407,-84
24,20,469,407,-85
34,74,469,407,-86
41,15,469,407,-87
26,36,469,407,-88
30,47,469,407,-89
32,45,469,407,-90
46,43,469,407,-91
38,37,469,407,-92
29,43,466,420,-93
44,23,466,420,-94
34,51,466,420,-95
44,22,466,420,-96
36,45,466,420,-97
31,33,466,420,-98
29,37,466,420,-99
35,34,466,420,-100
34,57,466,420,-101
30,34,466,420,-102
33,40,466,420,-103
41,46,466,420,-104
39,45,471,409,-105
33,33,471,409,-106
35,27,471,409,-107
36,23,471,409,-108
45,38,471,409,-109
37,30,471,409,-110
28,28,471,409,-111
36,29,471,409,-112
27,53,471,409,-113
29,52,471,409,-114
27,30,471,409,-115
37,60,471,409,-116
39,39,469,417,-117
33,52,469,417,-118
42,33,469,417,-119
29,50,469,417,-120